JNAME,BNAME,RAJ,RAJ_ERR,DECJ,DECJ_ERR,F0,F0_ERR,F1,F1_ERR,P0,P0_ERR,P1,P1_ERR,DM,DM_ERR,RM,RM_ERR,DIST,ASSOC,PB,PB_ERR,BINCOMP,AGE,BSURF,EDOT,NGLT,TYPE,rm_MK,dm_MK,w50_MK,w10_MK,scatter_MK,USER,COMMENTS,CATEGORY
J0034-0721,B0031-07,00:34:08.8703,0.0001,-07:21:53.409,0.002,1.0605004987209,1.9e-12,-4.59098e-16,7e-21,0.9429509945597656,1.6893974984683772e-12,4.082100067114921e-16,6.224096046988931e-21,10.922,0.006,9.89,0.07,1.03,,,,,36599193.34247739,627821758607.8699,1.9221001589575745e+31,,,0.0,0.0,0.0,0.0,0.0,aparthas,,PROFILE:DoublePeak+Symmetric;POLARIZATION:PAJump;FREQUENCY:FreqProfileEvol+Scattering;TIME:Nulling;OBSERVATION:HighSN_Above1000 
J0038-2501,,00:38:10.264,0.01,-25:01:30.73,0.02,3.8921643555216487,2.575320372966853e-11,-1.1513196961498871e-17,9.08936602223595e-20,0.2569264575329,1.7e-12,7.6e-19,6e-21,5.71,0.003,,,0.6,,,,,5356255360.5591545,14140383527.698393,1.7690774316190028e+30,,,,,,,,aparthas,,PROFILE:TriplePeak+withCentral+Symmetric;POLARIZATION:PAJump;FREQUENCY:NotSure;TIME:Stable;OBSERVATION:LowSN_0to100 
J0045-7042,,00:45:25.69,0.17,-70:42:07.1,1.3,1.5814382167961567,1.5005681001260448e-10,-6.227357615523086e-15,7.502840500630226e-17,0.63233580002,6e-11,2.49e-15,3e-17,70.0,3.0,,,59.7,EXGAL,,,,4023596.8592345403,1269765541137.0225,3.887906149067e+32,,,,,,,,aparthas,,PROFILE:DoublePeak;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0045-7319,,00:45:35.16,0.07,-73:19:03.0,0.2,1.0795919386809352,3.4965562621945807e-11,-5.2019433031422835e-15,1.0489668786584283e-18,0.92627590497,3e-11,4.4632e-15,9e-19,105.4,0.7,-14.0,27.0,59.7,EXGAL,51.169451,5e-06,MS,3288213.8618825614,2057516544263.8838,2.2170984797698355e+32,,,,,,,,aparthas,veryweakdetection,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0108-1431,,01:08:08.347016,8.8e-05,-14:31:50.1871,0.0011,1.2382910081,3e-11,-1.1813e-16,1.8e-19,0.807564614019424,1.956481817449024e-11,7.70397323650844e-17,1.1738890904694148e-19,2.38,0.19,-0.3,0.1,0.21,,,,,166084289.3591604,252403865289.59253,5.774875954991473e+30,,,,,,,,aparthas,,PROFILE:SinglePeak+withShoulders;POLARIZATION:HighLinearPol+FlatPA;FREQUENCY:FreqProfileEvol+SteepSpectrum;TIME:Stable;OBSERVATION:HighSN_Above1000 
J0111-7131,,01:11:28.77,0.09,-71:31:46.8,0.6,1.4523452589200523,1.0546533755537769e-10,-1.495920347885477e-14,8.437227004430495e-18,0.68854151164,5e-11,7.092e-15,4e-18,76.0,3.0,,,59.7,EXGAL,,,,1538251.8249050025,2236142140867.6377,8.577052682853478e+32,,,,,,,,aparthas,,PROFILE:SinglePeak+withShoulders;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0113-7220,,01:13:11.09,0.03,-72:20:32.20,0.15,3.068585813017896,9.4162188918547e-11,-4.5753407595521996e-14,1.412432833778233e-17,0.32588301613,1e-11,4.859e-15,1.5e-18,125.49,0.03,87.0,29.0,59.7,EXGAL,,,,1062627.0459176837,1273369054588.9224,5.542701038331635e+33,,,,,,,,aparthas,NoPAplot,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:FlatSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0131-7310,,01:31:28.51,0.03,-73:10:09.34,0.13,2.8725392936619896,5.776037395542486e-11,-1.453416038358362e-14,5.776037395542515e-18,0.348124045581,7e-12,1.7614e-15,7e-19,205.2,0.7,,,59.7,EXGAL,,,,3131425.3793987017,792402770401.2943,1.6482218348181175e+33,,,,,,,,aparthas,,PROFILE:SinglePeak+Narrow;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:Stable;OBSERVATION:LowSN_0to100 
J0133-6957,,01:33:32.46,0.01,-69:57:29.68,0.03,2.157619537032614,1.3965966199754493e-11,-5.586386479901797e-16,9.310644133169662e-19,0.463473741703,3e-12,1.2e-16,2e-19,22.948,0.008,7.0,1.0,2.44,,,,,61194152.610755146,238645455394.53424,4.758450770965691e+31,,,,,,,,aparthas,nicescintle,PROFILE:SinglePeak+withShoulders+withSteepLeading+Narrow;POLARIZATION:NotSure;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:LowSN_0to100 
J0134-2937,,01:34:18.6824,0.0003,-29:37:17.042,0.007,7.30131601293,7e-13,-4.177838e-15,1.4e-20,0.13696161051365074,1.3130937928145076e-14,7.836990207406537e-17,2.6261875856290195e-22,21.806,0.006,13.0,2.0,25.0,,,,,27689530.20386401,104839286700.90118,1.2042384185524356e+33,,,,,,,,aparthas,Interestingfrequencyphase,PROFILE:SinglePeak+withShoulders+withSteepTrailing;POLARIZATION:HighLinearPol+PAJump;FREQUENCY:FlatSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
